q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025888,0.808991,0.379981,0.443899,0.266425,0.022894,-10.808058,1.538823,8.000000,
0.025934,0.738999,0.377399,0.303802,0.517684,0.028830,-12.454963,1.538823,8.000000,
0.026083,0.640211,0.368333,0.378778,0.418708,0.024294,-12.299750,1.538823,8.000000,
0.026083,0.640211,0.368333,0.378778,0.418708,0.024294,-12.299750,1.538823,8.000000,
0.026083,0.640211,0.368333,0.378778,0.418708,0.024294,-12.299750,1.538823,8.000000,
0.026186,0.600565,0.366525,0.391803,0.388509,0.013161,-12.434327,1.538823,8.000000,
0.026012,0.616500,0.367037,0.389508,0.416757,0.037524,-13.971122,1.538823,8.000000,
0.025986,0.637189,0.366773,0.367302,0.459708,0.041627,-15.471400,1.538823,8.000000,
0.026471,0.821627,0.336760,0.227028,0.846264,0.016736,-13.566107,1.538823,8.000000,
0.026471,0.821627,0.336760,0.227028,0.846264,0.016736,-13.566107,1.538823,8.000000,
0.026473,0.803167,0.339489,0.214661,0.862515,0.015023,-12.906125,1.538823,8.000000,
0.026473,0.803167,0.339489,0.214661,0.862515,0.015023,-12.906125,1.538823,8.000000,
0.026473,0.803167,0.339489,0.214661,0.862515,0.015023,-12.906125,1.538823,8.000000,
0.026473,0.803167,0.339489,0.214661,0.862515,0.015023,-12.906125,1.538823,8.000000,
0.026508,0.900369,0.341795,0.230825,0.822446,0.006689,-11.843872,1.538823,8.000000,
0.026441,0.940216,0.340382,0.207425,0.887710,0.017806,-12.704744,1.538823,8.000000,
0.026441,0.940216,0.340382,0.207425,0.887710,0.017806,-12.704744,1.538823,8.000000,
0.026441,0.940216,0.340382,0.207425,0.887710,0.017806,-12.704744,1.538823,8.000000,
0.026441,0.940216,0.340382,0.207425,0.887710,0.017806,-12.704744,1.538823,8.000000,
0.026449,0.928125,0.338870,0.214887,0.884191,0.016879,-13.071947,1.538823,8.000000,
0.026449,0.928125,0.338870,0.214887,0.884191,0.016879,-13.071947,1.538823,8.000000,
0.026449,0.928125,0.338870,0.214887,0.884191,0.016879,-13.071947,1.538823,8.000000,
0.026435,0.943504,0.340153,0.225306,0.867331,0.013038,-13.268675,1.538823,8.000000,
0.026453,0.946411,0.341345,0.203536,0.896025,0.009620,-12.536329,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026514,0.985060,0.338852,0.209529,0.899724,0.007077,-12.762525,1.538823,8.000000,
0.026425,0.983620,0.342924,0.253419,0.810084,0.009757,-12.611916,1.538823,8.000000,
0.025957,0.914920,0.368374,0.310385,0.621636,0.039668,-12.951452,1.538823,8.000000,
0.025991,0.866158,0.365988,0.318456,0.606135,0.040066,-11.957673,1.538823,8.000000,
0.026164,0.996280,0.352965,0.270156,0.735310,0.038571,-11.338292,1.538823,8.000000,
0.026031,0.964334,0.357703,0.296542,0.682985,0.048359,-11.568101,1.538823,8.000000,
0.026086,0.980222,0.357448,0.311416,0.644555,0.042056,-11.002568,1.538823,8.000000,
0.025863,0.813388,0.365898,0.241902,0.767416,0.054871,-9.866828,1.538823,8.000000,
0.025685,0.822472,0.368093,0.230946,0.801681,0.078206,-10.518082,1.538823,8.000000,
0.025685,0.822472,0.368093,0.230946,0.801681,0.078206,-10.518082,1.538823,8.000000,
0.025576,0.793014,0.367634,0.212214,0.847384,0.093688,-10.266533,1.538823,8.000000,
0.025593,0.827755,0.369609,0.255110,0.753585,0.084792,-10.158155,1.538823,8.000000,
0.025593,0.827755,0.369609,0.255110,0.753585,0.084792,-10.158155,1.538823,8.000000,
0.025593,0.827755,0.369609,0.255110,0.753585,0.084792,-10.158155,1.538823,8.000000,
0.025593,0.827755,0.369609,0.255110,0.753585,0.084792,-10.158155,1.538823,8.000000,
0.025737,0.829198,0.367695,0.236027,0.779998,0.066800,-9.580189,1.538823,8.000000,
0.025791,0.830668,0.377423,0.318300,0.567064,0.040189,-10.852457,1.538823,8.000000,
0.025791,0.830668,0.377423,0.318300,0.567064,0.040189,-10.852457,1.538823,8.000000,
0.025645,0.827073,0.382110,0.326846,0.550238,0.051035,-10.114746,1.538823,8.000000,
0.025651,0.819903,0.381447,0.324390,0.558105,0.050507,-9.985964,1.538823,8.000000,
0.025651,0.819903,0.381447,0.324390,0.558105,0.050507,-9.985964,1.538823,8.000000,
0.025477,0.878214,0.385889,0.342957,0.526796,0.064406,-11.667582,1.538823,8.000000,
0.025477,0.878214,0.385889,0.342957,0.526796,0.064406,-11.667582,1.538823,8.000000,
0.025440,0.909658,0.385748,0.363994,0.491435,0.069223,-11.381374,1.538823,8.000000,
0.025372,0.903799,0.389496,0.347371,0.521486,0.074527,-10.973391,1.538823,8.000000,
0.025342,0.874971,0.390650,0.345137,0.509581,0.078839,-11.185634,1.538823,8.000000,
0.025295,0.842490,0.387618,0.341551,0.530751,0.092226,-11.567778,1.538823,8.000000,
0.025185,0.844920,0.389386,0.376983,0.467035,0.103159,-11.204113,1.538823,8.000000,
0.025185,0.844920,0.389386,0.376983,0.467035,0.103159,-11.204113,1.538823,8.000000,
0.025658,0.926930,0.376588,0.241893,0.735094,0.064002,-10.071739,1.538823,8.000000,
0.025658,0.926930,0.376588,0.241893,0.735094,0.064002,-10.071739,1.538823,8.000000,
0.025658,0.926930,0.376588,0.241893,0.735094,0.064002,-10.071739,1.538823,8.000000,
0.025658,0.926930,0.376588,0.241893,0.735094,0.064002,-10.071739,1.538823,8.000000,
0.025695,0.926708,0.371504,0.210511,0.802201,0.069309,-10.128922,1.538823,8.000000,
0.025560,0.894756,0.371010,0.224063,0.803373,0.087566,-10.197950,1.538823,8.000000,
0.025619,0.835078,0.367496,0.197494,0.851937,0.083244,-11.793852,1.538823,8.000000,
0.025619,0.835078,0.367496,0.197494,0.851937,0.083244,-11.793852,1.538823,8.000000,
