"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","LogLikelihood","R0","i_chain","loc","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"265","2",0.04996,0.807644,0.181577,0.011127,0.253422,-338974.530392,3.299864,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"266","2",0.051464,0.529785,0.081783,0.272852,0.060784,-334126.289003,3.16718,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"267","2",0.049832,0.852696,0.145795,0.003225,0.547776,-337171.25429,3.210865,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"268","2",0.052404,0.646169,0.160878,0.002579,0.141337,-337917.349433,3.412257,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"269","2",0.050198,0.946446,0.185154,0.103494,0.02278,-339158.566845,3.323666,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"270","2",0.050175,0.843648,0.126316,0.281726,0.029947,-336220.397515,3.188837,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"271","2",0.050381,0.767643,0.100499,0.281882,0.141848,-334993.841528,3.143171,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"272","2",0.049575,0.95772,0.17135,0.004194,0.3832,-338452.005271,3.251505,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"273","2",0.049663,0.888909,0.15171,0.002571,0.520696,-337464.470911,3.213241,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"274","2",0.051848,0.437654,0.150469,0.067847,0.049416,-337398.815759,3.351697,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"275","2",0.050491,0.872437,0.149392,0.199859,0.059597,-337347.892766,3.261515,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"276","2",0.049775,0.956046,0.15951,0.016606,0.40721,-337853.633789,3.238039,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"277","2",0.051507,0.464991,0.115869,0.16526,0.07927,-335717.356146,3.249143,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"278","2",0.050954,0.62804,0.142363,0.006144,0.432361,-337000.177752,3.275254,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"279","2",0.050175,0.843648,0.126316,0.281726,0.029947,-336220.397515,3.188837,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
