"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","Initial_Condition_Scale","R0","chain","loc","id_sample","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"26","1",0.03528204,0.967006003,0.47740627,0.143938875,0.196769189,0.018850301,1.90964233,"11\","nyc",26,2190009.77074277,2804.894878653,653.083042941,4013.251335639,43,1,0,11383,0,0,0,0,0,1873324.77158957,776.363929362,180.336503277,1109.527977789,26,11,7,3159,0,0,0,0,0,3719235.77405299,1649.518637319,384.106563477,2356.600746213,54,24,15,6717,0,0,0,0,0,334281.388214584,235.354419531,55.017916254,337.239449631,8,3,2,966,0,0,0,0,0,1281958.80198716,206.826611103,47.885964147,296.485437591,11,12,7,829,0,0,0,0,0,0
"27","1",0.032973515,0.645673845,0.420129355,0.16129512,0.419109265,0.442403543,1.90964233,"11\","nyc",27,2186903.85481918,3970.936953879,924.580671063,5681.627555877,43,1,0,11383,0,0,0,0,0,1872465.8056148,1099.111499766,255.305427111,1570.777458327,26,11,7,3159,0,0,0,0,0,3717410.68313321,2335.251336117,543.786135711,3336.279394959,54,24,15,6717,0,0,0,0,0,334020.479417512,333.195218433,77.889791322,477.435572733,8,3,2,966,0,0,0,0,0,1281729.65968324,292.807919229,67.792966521,419.739431013,11,12,7,829,0,0,0,0,0,0
"28","1",0.035079466,0.84100124,0.409062101,0.043393645,0.677821227,0.197588166,1.90964233,"11\","nyc",28,2188699.08597872,3296.960220998,767.654014406,4717.299785874,43,1,0,11383,0,0,0,0,0,1872962.29119935,912.562182492,211.973105382,1304.173512774,26,11,7,3159,0,0,0,0,0,3718465.59259271,1938.895240754,451.490738582,2770.021427958,54,24,15,6717,0,0,0,0,0,334171.285689744,276.642866346,64.669760964,396.401682946,8,3,2,966,0,0,0,0,0,1281862.10480219,243.110397698,56.286643802,348.498156306,11,12,7,829,0,0,0,0,0,0
"29","1",0.03500595,0.023672259,0.474952251,0.054861763,0.41121876,0.074134853,1.90964233,"11\","nyc",29,2189604.36912295,2957.093250309,688.520440773,4231.017185967,43,1,0,11383,0,0,0,0,0,1873212.65451812,818.490757986,190.121868981,1169.732854917,26,11,7,3159,0,0,0,0,0,3718997.55291842,1739.024327007,404.948839581,2484.473914989,54,24,15,6717,0,0,0,0,0,334247.332930552,248.125151043,58.003282062,355.538636343,8,3,2,966,0,0,0,0,0,1281928.89304453,218.049375159,50.484338091,312.573242223,11,12,7,829,0,0,0,0,0,0
"30","1",0.034943123,0.941422344,0.463364674,0.101496241,0.400275978,0.0947257,1.90964233,"11\","nyc",30,2189453.3764419,3013.7798521,701.7191737,4312.1245323,43,1,0,11383,0,0,0,0,0,1873170.8962804,834.1809834,193.7664489,1192.1562873,26,11,7,3159,0,0,0,0,0,3718908.8269587,1772.3609083,412.7115889,2532.1005441,54,24,15,6717,0,0,0,0,0,334234.6489688,252.8816367,59.1151878,362.3542067,8,3,2,966,0,0,0,0,0,1281917.7533963,222.2293171,51.4521079,318.5651787,11,12,7,829,0,0,0,0,0,0
"31","1",0.0355036,0.803595024,0.460678661,0.020737575,0.498530974,0.012096417,1.90964233,"11\","nyc",31,2190059.29697414,2786.301436001,648.753803297,3986.647786563,43,1,0,11383,0,0,0,0,0,1873338.46846632,771.217469754,179.141065809,1102.172998113,26,11,7,3159,0,0,0,0,0,3719264.87653915,1638.584099123,381.560349209,2340.979012521,54,24,15,6717,0,0,0,0,0,334285.548607128,233.794272327,54.653206518,335.003914027,8,3,2,966,0,0,0,0,0,1281962.4558384,205.455572651,47.568531599,294.520057347,11,12,7,829,0,0,0,0,0,0
"32","1",0.033084183,0.525250012,0.490138089,0.129211121,0.354154316,0.307601042,1.90964233,"11\","nyc",32,2187892.36155901,3599.825668626,838.172267922,5150.640504438,43,1,0,11383,0,0,0,0,0,1872739.18508682,996.391994004,231.445384434,1423.977534738,26,11,7,3159,0,0,0,0,0,3717991.54711002,2117.006086998,492.965592834,3024.481210146,54,24,15,6717,0,0,0,0,0,334103.517758128,302.055840702,70.610456268,432.815944902,8,3,2,966,0,0,0,0,0,1281802.58783628,265.443011526,61.457248974,380.511903222,11,12,7,829,0,0,0,0,0,0
"33","1",0.033400093,0.17403628,0.506667457,0.049361014,0.483889773,0.233453241,1.90964233,"11\","nyc",33,2188436.08738375,3395.696772473,790.643527481,4858.572316299,43,1,0,11383,0,0,0,0,0,1872889.55682725,939.891369642,218.321223657,1343.230579449,26,11,7,3159,0,0,0,0,0,3718311.04998453,1996.960797179,465.011871857,2852.977346433,54,24,15,6717,0,0,0,0,0,334149.192803544,284.927698671,66.606475014,408.273022771,8,3,2,966,0,0,0,0,0,1281842.70179662,250.391007923,57.972302327,358.934893131,11,12,7,829,0,0,0,0,0,0
"34","1",0.035507686,0.063917731,0.428402766,0.122266045,0.372233341,0.040321498,1.90964233,"11\","nyc",34,2189852.32245517,2864.005083994,666.846080218,4097.826380622,43,1,0,11383,0,0,0,0,0,1873281.22800206,792.724981476,184.136905146,1132.910111322,26,11,7,3159,0,0,0,0,0,3719143.25466512,1684.280505262,392.201204746,2406.263624874,54,24,15,6717,0,0,0,0,0,334268.161957232,240.314266038,56.177360892,344.346415838,8,3,2,966,0,0,0,0,0,1281947.18606958,211.185264094,48.895110406,302.733555918,11,12,7,829,0,0,0,0,0,0
"35","1",0.03459157,0.501555833,0.477177528,0.168531278,0.124018999,0.109724305,1.90964233,"11\","nyc",35,2189343.39167143,3055.071011665,711.333279505,4371.204037395,43,1,0,11383,0,0,0,0,0,1873140.47910946,845.60992041,196.421201985,1208.489768145,26,11,7,3159,0,0,0,0,0,3718844.19796976,1796.643649795,418.366062985,2566.792317465,54,24,15,6717,0,0,0,0,0,334225.40982812,256.346314455,59.92511247,367.318744955,8,3,2,966,0,0,0,0,0,1281909.639151,225.274033915,52.157042335,322.929772755,11,12,7,829,0,0,0,0,0,0
